,Chemin,Taille,Nom,NCLOC,CLOC,ANA,NOM,NOA,ITC,ETC,CAC,CLD,DIT,NOC,NOD
,n.d,1,Aggregation,35,60,0.5,8,4,2,0,0,1,0,0,0
,n.d,1,Association,37,58,0.5,8,5,2,0,0,1,0,0,0
,n.d,1,Class_dec,580,366,0.684,31,8,0,8,0,1,0,0,0
,n.d,1,Data_Item,6,70,0.6,7,4,0,0,0,1,0,0,0
,n.d,1,ErrorModelable,20,39,0.5,6,1,0,0,0,1,1,1,1
,n.d,1,Metricable,16,90,0,12,1,0,0,0,0,1,1,1
,n.d,1,Modelable,7,28,0.5,4,1,0,0,0,0,2,7,8
,n.d,1,Model,152,130,0.5,12,7,0,0,0,1,0,0,0
,n.d,1,Multiplicity,8,14,0,1,5,0,1,1,0,0,0,0
,n.d,1,Operation,40,55,0.4285,9,5,0,0,0,1,0,0,0
,n.d,1,ParseInterface,493,249,"0,4545",11,35,2,0,0,0,0,0,0
,n.d,1,Parser,410,200,0.8947,19,4,2,0,0,0,0,0,0
,n.d,1,ParsingError,11,23,0,7,2,0,0,0,2,0,0,0
,n.d,1,Returnable,5,17,0.5,2,1,0,0,0,0,1,2,2
,n.d,1,Role,19,36,0.5,4,2,1,6,3,0,0,0,0
mean,n.d,n.d,n.d,122.6,95.66666667,0.436228571,9.4,5.666666667,0.6,1,0.266666667,0.6,0.333333333,0.733333333,0.8
std,n.d,n.d,n.d,198.3319008,101.1291018,0.262798725,7.490946917,8.4148395,0.91025899,2.478478796,0.798808637,0.632455532,0.6172134,1.830950833,2.077085871
max,n.d,n.d,n.d,580,366,0.8947,31,35,2,8,3,2,2,7,8
min,n.d,n.d,n.d,5,14,0,1,1,0,0,0,0,0,0,0
Total,6,18,parsingUI,1839,1435,nd.,nd.,nd.,nd.,nd.,nd.,nd.,nd.,nd.,nd.
